.77200950;13537;Alchemilla;MOLLIS ROBUSTICA;;;;;FIORI;;190;100.000;0.60;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;0.600;0.000;;
.77201212;4687;ALLIUM;NEAPOLITANUM;;;;;FIORI;;0;50.000;0.60;10;PZ;;;;21/02/2017;78;CTCODFOR;False;;0;0.600;0.600;;
.77201163;.77200864;ALSTROEMERIA;MIX NET;;;;;FIORI;;90;60.000;1.20;10;PZ;;;;21/02/2017;77;CTCODFOR;False;;0;1.200;1.200;;
.77201164;;ALSTROEMERIA;PARADISO;;;;;FIORI;;49;50.000;1.20;10;PZ;;;;21/02/2017;77;CTCODFOR;False;;0;1.200;1.200;;
.77201263;103567;ALSTROEMERIA;GEMENGD IN FUST;;;;;FIORI;;20;60.000;1.00;10;PZ;;;;24/02/2017;82;CTCODFOR;False;;0;1.000;1.000;;
.77201322;;ALSTROEMERIA;MIX QUARTER;;H 50;;;FIORI;;80;180.000;0.60;10;PZ;;;;28/02/2017;87;CTCODFOR;False;;0;0.600;0.600;;
.77200864;.77200864;ALSTROEMERIA;MIX NET;;;;;FIORI;;180;120.000;1.00;10;PZ;;;;07/02/2017;57;CTCODFOR;False;;0;1.000;1.000;;
.77201165;26554;Ananas;NANUS;;;;;FIORI;;15;5.000;2.50;10;PZ;;;;21/02/2017;77;CTCODFOR;False;;0;2.500;0.000;;
.77201266;103742;ANIGOZANTHOS;ORANJE;;;;;FIORI;;40;40.000;1.60;10;PZ;;;;24/02/2017;82;CTCODFOR;False;;0;1.600;1.600;;
.77201267;18540;ANTHURIUM;CALISTO;;;;;FIORI;;12;12.000;1.80;10;PZ;;;;24/02/2017;82;CTCODFOR;False;;0;1.800;1.800;;
.77201268;111512;ANTHURIUM;CANDY;;;;;FIORI;;0;10.000;2.00;10;PZ;;;;24/02/2017;82;CTCODFOR;False;;0;2.000;2.000;;
.77201269;112195;ANTHURIUM;ETERNO;;;;;FIORI;;0;10.000;2.00;10;PZ;;;;24/02/2017;82;CTCODFOR;False;;0;2.000;2.000;;
.77201270;106131;ANTHURIUM;LUCARDI;;;;;FIORI;;10;10.000;2.00;10;PZ;;;;24/02/2017;82;CTCODFOR;False;;0;2.000;2.000;;
.77201271;13024;ANTHURIUM;PISTACHE;;;;;FIORI;;10;10.000;2.00;10;PZ;;;;24/02/2017;82;CTCODFOR;False;;0;2.000;2.000;;
.77201272;101498;ANTHURIUM;SUMMER LOVE;;;;;FIORI;;10;10.000;2.00;10;PZ;;;;24/02/2017;82;CTCODFOR;False;;0;2.000;2.000;;
.77201050;11349;ANTHURIUM;MISTI;;;;;FIORI;;16;20.000;18.00;10;PZ;;;;08/02/2017;61;CTCODFOR;False;;0;18.000;18.000;;
.77201255;11349;ANTHURIUM;MISTI;;;;;FIORI;;6;6.000;18.00;10;PZ;;;;22/02/2017;80;CTCODFOR;False;;0;18.000;18.000;;
.77201393;;ANTHURIUM;MIXED;;;;;FIORI;;13;13.000;18.00;10;PZ;;;;01/03/2017;90;CTCODFOR;False;;0;18.000;18.000;;
.77200952;2837;ANTHURIUM;ACROPOLIS;;X 12;;;FIORI;;12;12.000;2.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;2.000;2.000;;
.77200953;18540;ANTHURIUM;CALISTO;;X 10;;;FIORI;;10;10.000;2.10;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;2.100;2.100;;
.77200954;18540;ANTHURIUM;CALISTO;;X 12;;;FIORI;;24;12.000;2.10;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;2.100;2.100;;
.77200955;;ANTHURIUM;DANIELLE;;X 12;;;FIORI;;24;12.000;1.80;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;1.800;1.800;;
.77200956;112195;ANTHURIUM;ETERNO;;X 10;;;FIORI;;10;10.000;2.20;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;2.200;2.200;;
.77200957;26817;ANTHURIUM;EVITA (CLASSIC);;X 10;;;FIORI;;20;10.000;2.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;2.000;2.000;;
.77200958;108378;ANTHURIUM;EVITA PINK;;X 12;;;FIORI;;0;12.000;2.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;2.000;2.000;;
.77200959;110125;ANTHURIUM;LEMONA;;X 12;;;FIORI;;12;12.000;1.80;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;1.800;1.800;;
.77200960;1903;ANTHURIUM;MIDORI;;X 12;;;FIORI;;24;12.000;2.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;2.000;2.000;;
.77200961;13024;ANTHURIUM;PISTACHE;;X 12;;;FIORI;;0;12.000;2.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;2.000;2.000;;
.77200962;4725;ANTHURIUM;TROPICAL;;X 12;;;FIORI;;0;12.000;2.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;2.000;2.000;;
.77200963;24001;ANTHURIUM;VERINO;;X 10;;;FIORI;;0;10.000;2.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;2.000;2.000;;
.77200900;;ANTHURIUM;ARENA;;;;;FIORI;;0;10.000;2.20;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;2.200;2.200;;
.77200901;112195;ANTHURIUM;ETERNO;;;;;FIORI;;19;12.000;2.50;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;2.500;2.500;;
.77200902;;ANTHURIUM;AMALIA SWEET;;;;;FIORI;;0;40.000;1.50;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;1.500;1.500;;
.77200903;104840;ANTHURIUM;ACROPOLIS KLEURBEHANDELD 4 KLEUREN GEMENGD IN DOOS H%;;;;;FIORI;;12;12.000;2.20;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;2.200;2.200;;
.77200904;15018;ANTHURIUM;AVO DANIELLE;;;;;FIORI;;10;12.000;2.00;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;2.000;2.000;;
.77200905;77200137;ANTHURIUM;CALISTO;;;;;FIORI;;18;10.000;2.00;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;2.000;2.000;;
.77200906;13023;ANTHURIUM;CHEERS;;;;;FIORI;;12;12.000;2.50;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;2.500;2.500;;
.77200907;17817;ANTHURIUM;LOVE COLLECTIE;;;;;FIORI;;27;60.000;1.00;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;1.000;1.000;;
.77200908;13024;ANTHURIUM;PISTACHE;;;;;FIORI;;0;12.000;2.40;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;2.400;2.400;;
.77200909;4725;ANTHURIUM;TROPICAL;;X 10;;;FIORI;;0;10.000;2.50;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;2.500;2.500;;
.77200910;4725;ANTHURIUM;TROPICAL;;X 12;;;FIORI;;0;12.000;2.00;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;2.000;2.000;;
.77200911;4725;ANTHURIUM;TROPICAL;;X 10;;;FIORI;;20;10.000;2.50;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;2.500;2.500;;
.77201161;;FAREKA;SUN;;;;;;;220;280.000;0.40;10;PZ;;;;21/02/2017;76;CTCODFOR;False;;0;0.400;0.400;;
.77200912;19456;Asparagus;FALCATUS;;;;;FIORI;;24;25.000;1.10;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;1.100;0.000;;
.77201116;;Aspidistra;;;;;;FIORI;;14;20.000;0.00;10;PZ;;;;20/02/2017;72;CTCODFOR;False;;0;0.000;0.000;;
.77201052;5503;Aspidistra;ELATIOR OVERIG;;;;;FIORI;;0;20.000;13.00;10;PZ;;;;08/02/2017;61;CTCODFOR;False;;0;13.000;0.000;;
.77201392;5503;Aspidistra;ELATIOR OVERIG;;;;;FIORI;;10;10.000;13.00;10;PZ;;;;01/03/2017;90;CTCODFOR;False;;0;13.000;0.000;;
.77201422;13884;Aspidistra;ELATIOR GALIA;;;;;FIORI;;90;1.000;3.00;10;PZ;;;;02/03/2017;94;CTCODFOR;False;;0;3.000;0.000;;
.77201257;5503;Aspidistra;ELATIOR OVERIG;;;;;FIORI;;10;10.000;13.00;10;PZ;;;;22/02/2017;80;CTCODFOR;False;;0;13.000;0.000;;
.77201261;13884;Aspidistra;ELATIOR GALIA;;;;;FIORI;;20;20.000;13.00;10;PZ;;;;24/02/2017;81;CTCODFOR;False;;0;13.000;0.000;;
.77201262;112424;Aspidistra;ELATIOR MILKY WAY;;;;;FIORI;;10;10.000;13.00;10;PZ;;;;24/02/2017;81;CTCODFOR;False;;0;13.000;0.000;;
.77200997;;FBAMBOE;LUCKY RECHT;;H 100;;;;;70;80.000;1.50;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;1.500;1.500;;
.77201343;;FBEARGRASS;ORANGE;;;;;;;40;40.000;2.50;10;PZ;;;;28/02/2017;87;CTCODFOR;False;;0;2.500;2.500;;
.77201166;;FBEARGRASS;ORCA;;;;;;;17;20.000;3.00;10;PZ;;;;21/02/2017;77;CTCODFOR;False;;0;3.000;3.000;;
.77201273;108238;BOUVARDIA;DUBBELBLOEMIG GEMENGD IN FUST;;H 70;;;FIORI;;40;50.000;1.20;10;PZ;;;;24/02/2017;82;CTCODFOR;False;;0;1.200;1.200;;
.77201350;20510;BRASSICA;OLERACEA RED CRANE;;;;;FIORI;;25;25.000;2.00;10;PZ;;;;01/03/2017;89;CTCODFOR;False;;0;2.000;2.000;;
.77201215;2574;BRUNIA;ALBIFLORA;;;;;FIORI;;0;20.000;1.15;10;PZ;;;;21/02/2017;78;CTCODFOR;False;;0;1.150;1.150;;
.77201216;;BRUNIA;SILVER LAEVIS;;;;;FIORI;;0;50.000;1.40;10;PZ;;;;21/02/2017;78;CTCODFOR;False;;0;1.400;1.400;;
.77201167;;CHAMELAUCIUM;PEARL WHITE;;;;;FIORI;;100;125.000;1.00;10;PZ;;;;21/02/2017;77;CTCODFOR;False;;0;1.000;1.000;;
.77201168;;CHAMELAUCIUM;EARLY;;;;;FIORI;;75;25.000;0.60;10;PZ;;;;21/02/2017;77;CTCODFOR;False;;0;0.600;0.600;;
.77201169;;FCHASMANTHIUM;LATIFOLIUM;;;;;;;150;50.000;0.60;10;PZ;;;;21/02/2017;77;CTCODFOR;False;;0;0.600;0.600;;
.77201304;;CHRYSANTHEMUM;SANTINI BOUNCER;;;;;FIORI;;50;25.000;0.70;10;PZ;;;;24/02/2017;82;CTCODFOR;False;;0;0.700;0.700;;
.77200848;;CHRYSANTHEMUM;SANTINI 4 KLEUREN;;;;;FIORI;;275;100.000;0.60;10;PZ;;;;01/02/2017;52;CTCODFOR;False;;0;0.600;0.600;;
.77200964;;FCLEAMATIS;INSPIRATION;;;;;;;50;50.000;1.30;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;1.300;1.300;;
.77201352;2188;Corylus;AVELLANA CONTORTA;;;;;FIORI;;10;10.000;3.50;10;PZ;;;;01/03/2017;89;CTCODFOR;False;;0;3.500;0.000;;
.77201421;;FCRISANTEMINA;MIX;;;;;FIORI;;800;1.000;2.40;10;PZ;;;;01/03/2017;93;CTCODFOR;False;;0;2.400;2.400;;
.77201308;;FCRISANTEMINA;MIX;;;;;FIORI;;0;160.000;2.20;10;PZ;;;;25/02/2017;83;CTCODFOR;False;;0;2.200;2.200;;
.77201309;;FCRISANTEMINA;MIX;;;;;FIORI;;635;640.000;2.50;10;PZ;;;;26/02/2017;84;CTCODFOR;False;;0;2.500;2.500;;
.77201310;;FCRISANTEMINA;;;;;;FIORI;;0;32.000;2.60;10;PZ;;;;26/02/2017;84;CTCODFOR;False;;0;2.600;2.600;;
.77201315;;FCRISANTEMINA;MIX;;;;;FIORI;;672;672.000;2.50;10;PZ;;;;26/02/2017;85;CTCODFOR;False;;0;2.500;2.500;;
.77201115;;FCRISANTEMINA;MIX;;;;;FIORI;;566;640.000;2.50;10;PZ;;;;19/02/2017;71;CTCODFOR;False;;0;2.500;2.500;;
.77201107;;FCRISANTEMINA;MIX;;;;;FIORI;;5;400.000;2.40;10;PZ;;;;09/02/2017;65;CTCODFOR;False;;0;2.400;2.400;;
.77201108;;FCRISANTEMINA;MIX;;;;;FIORI;;0;672.000;2.50;10;PZ;;;;12/02/2017;66;CTCODFOR;False;;0;2.500;2.500;;
.77201109;;FCRISANTEMINA;MIX;;;;;FIORI;;531;640.000;2.50;10;PZ;;;;12/02/2017;67;CTCODFOR;False;;0;2.500;2.500;;
.77201110;;FCRISANTEMINA;CHIC;;;;;FIORI;;0;32.000;2.70;10;PZ;;;;12/02/2017;67;CTCODFOR;False;;0;2.700;2.700;;
.77201111;;FCRISANTEMINA;MIX;;;;;FIORI;;0;160.000;2.20;10;PZ;;;;18/02/2017;68;CTCODFOR;False;;0;2.200;2.200;;
.77201112;;FCRISANTEMINA;MIX;;;;;FIORI;;28;672.000;2.50;10;PZ;;;;19/02/2017;69;CTCODFOR;False;;0;2.500;2.500;;
.77200846;;FCRISANTEMINA;MIX;;;;;FIORI;;0;320.000;2.20;10;PZ;;;;01/02/2017;51;CTCODFOR;False;;0;2.200;2.200;;
.77200850;;FCRISANTEMINA;MIX;;;;;FIORI;;9;160.000;2.00;10;PZ;;;;03/02/2017;53;CTCODFOR;False;;0;2.000;2.000;;
.77200852;;FCRISANTEMINA;;;;;;FIORI;;4;32.000;2.40;10;PZ;;;;06/02/2017;54;CTCODFOR;False;;0;2.400;2.400;;
.77201045;;FCRISANTEMO;SANT BOUNCER WIT;;;;;;;0;25.000;1.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;1.000;1.000;;
.77201046;;FCRISANTEMO;SANT CONTRY;;;;;;;0;25.000;1.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;1.000;1.000;;
.77201047;;FCRISANTEMO;SANT TWIGA;;;;;;;25;25.000;1.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;1.000;1.000;;
.77201170;;CYMBIDIUM;GEMENGD;;X 9;;;FIORI;;9;9.000;7.00;10;PZ;;;;21/02/2017;77;CTCODFOR;False;;0;7.000;7.000;;
.77201274;973;CYMBIDIUM;PER TAK GEMENGD;;;;;FIORI;;4;9.000;8.50;10;PZ;;;;24/02/2017;82;CTCODFOR;False;;0;8.500;8.500;;
.77201275;973;CYMBIDIUM;PER TAK GEMENGD;;;;;FIORI;;9;6.000;12.00;10;PZ;;;;24/02/2017;82;CTCODFOR;False;;0;12.000;12.000;;
.77201353;;CYMBIDIUM;GEMENGD;;X 6;;;FIORI;;6;6.000;10.00;10;PZ;;;;01/03/2017;89;CTCODFOR;False;;0;10.000;10.000;;
.77201354;;CYMBIDIUM;GEMENGD;;X 9;;;FIORI;;9;9.000;8.00;10;PZ;;;;01/03/2017;89;CTCODFOR;False;;0;8.000;8.000;;
.77201355;;CYMBIDIUM;MISTI;;X 6;;;FIORI;;12;6.000;12.00;10;PZ;;;;01/03/2017;89;CTCODFOR;False;;0;12.000;12.000;;
.77201356;27199;CYMBIDIUM;PER TAK MRS. ESMEE;;X 9;;;FIORI;;9;9.000;8.50;10;PZ;;;;01/03/2017;89;CTCODFOR;False;;0;8.500;8.500;;
.77200894;;CYMBIDIUM;MIX SPECIAL;;;;;FIORI;;8;4.000;12.00;10;PZ;;;;07/02/2017;57;CTCODFOR;False;;0;12.000;12.000;;
.77200915;102630;CYMBIDIUM;GILGAMESH ...;;;;;FIORI;;8;10.000;12.00;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;12.000;12.000;;
.77200916;;CYMBIDIUM;MINI MISTO;;X 10;;;FIORI;;17;10.000;5.00;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;5.000;5.000;;
.77200917;;CYMBIDIUM;GEMENGD;;X 4;;;FIORI;;0;4.000;15.00;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;15.000;15.000;;
.77200918;;CYMBIDIUM;GEMENGD;;X 12;;;FIORI;;0;12.000;6.00;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;6.000;6.000;;
.77200919;;CYMBIDIUM;GEMENGD;;X 9;;;FIORI;;9;9.000;7.50;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;7.500;7.500;;
.77200965;;CYMBIDIUM;MINI MISTO;;X 10;;;FIORI;;0;10.000;6.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;6.000;6.000;;
.77200966;;CYMBIDIUM;MINI MISTO;;X 8;;;FIORI;;10;8.000;7.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;7.000;7.000;;
.77200967;;CYMBIDIUM;WHITE;;X 6;;;FIORI;;1;6.000;13.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;13.000;13.000;;
.77200968;24848;CYMBIDIUM;PER TAK AIDA;;X 6;;;FIORI;;12;6.000;11.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;11.000;11.000;;
.77200969;24848;CYMBIDIUM;PER TAK AIDA;;X 9;;;FIORI;;18;9.000;9.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;9.000;9.000;;
.77200970;973;CYMBIDIUM;PER TAK GEMENGD;;X 9;;;FIORI;;17;9.000;9.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;9.000;9.000;;
.77200971;973;CYMBIDIUM;PER TAK GEMENGD;;X 4;;;FIORI;;4;4.000;14.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;14.000;14.000;;
.77200972;973;CYMBIDIUM;PER TAK GEMENGD;;X 6;;;FIORI;;0;6.000;11.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;11.000;11.000;;
.77200973;973;CYMBIDIUM;PER TAK GEMENGD;;X 9;;;FIORI;;9;9.000;9.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;9.000;9.000;;
.77200974;24849;CYMBIDIUM;PER TAK LIMONES;;X 6;;;FIORI;;5;6.000;13.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;13.000;13.000;;
.77200975;24849;CYMBIDIUM;PER TAK LIMONES;;X 9;;;FIORI;;17;9.000;9.00;10;PZ;;;;08/02/2017;60;CTCODFOR;False;;0;9.000;9.000;;
.77200921;3399;Cyperus;PAPYRUS;;;;;FIORI;;60;80.000;1.00;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;1.000;0.000;;
.77200892;.77201102;DENDROBIUM;SNOW WHITE;;;;;FIORI;;10;60.000;1.20;10;PZ;;;;07/02/2017;57;CTCODFOR;False;;0;1.200;1.200;;
.77201056;.77201103;DENDROBIUM;BOUKET;;;;;FIORI;;73;18.000;3.00;10;PZ;;;;08/02/2017;62;CTCODFOR;False;;0;3.000;3.000;;
.77201057;;DENDROBIUM;DIAMOND;;;;;FIORI;;80;80.000;1.20;10;PZ;;;;08/02/2017;62;CTCODFOR;False;;0;1.200;1.200;;
.77201058;;DENDROBIUM;GALAXY;;;;;FIORI;;50;70.000;1.00;10;PZ;;;;08/02/2017;62;CTCODFOR;False;;0;1.000;1.000;;
.77201400;25305;DENDROBIUM;SAKURA;;H 30;;;FIORI;;70;70.000;1.00;10;PZ;;;;02/03/2017;92;CTCODFOR;False;;0;1.000;1.000;;
.77201401;;DENDROBIUM;BIG WHITE;;;;;FIORI;;70;70.000;1.00;10;PZ;;;;02/03/2017;92;CTCODFOR;False;;0;1.000;1.000;;
.77201402;.77201103;DENDROBIUM;BOUKET;;;;;FIORI;;51;18.000;3.00;10;PZ;;;;02/03/2017;92;CTCODFOR;False;;0;3.000;3.000;;
.77201403;25303;DENDROBIUM;BURANA JADE JADE;;;;;FIORI;;70;70.000;1.00;10;PZ;;;;02/03/2017;92;CTCODFOR;False;;0;1.000;1.000;;
.77201404;;DENDROBIUM;GALAXY;;;;;FIORI;;140;140.000;1.00;10;PZ;;;;02/03/2017;92;CTCODFOR;False;;0;1.000;1.000;;
.77201405;;DENDROBIUM;GALAXY;;;;;FIORI;;180;90.000;0.80;10;PZ;;;;02/03/2017;92;CTCODFOR;False;;0;0.800;0.800;;
.77201341;;DENDROBIUM;BIG WHITE;;;;;FIORI;;90;60.000;1.50;10;PZ;;;;28/02/2017;87;CTCODFOR;False;;0;1.500;1.500;;
.77201342;;DENDROBIUM;WHITE;;;;;FIORI;;200;100.000;1.10;10;PZ;;;;28/02/2017;87;CTCODFOR;False;;0;1.100;1.100;;
.77201248;;DENDROBIUM;GALAXY;;;;;FIORI;;100;100.000;1.00;10;PZ;;;;08/02/2017;61;CTCODFOR;False;;0;1.000;1.000;;
.77201249;.77201103;DENDROBIUM;BOUKET;;;;;FIORI;;10;10.000;3.20;10;PZ;;;;08/02/2017;61;CTCODFOR;False;;0;3.200;3.200;;
.77201101;;DENDROBIUM;MIX ASIA;;;;;FIORI;;50;60.000;1.20;10;PZ;;;;09/02/2017;63;CTCODFOR;False;;0;1.200;1.200;;
.77201102;.77201102;DENDROBIUM;SNOW WHITE;;;;;FIORI;;100;60.000;1.20;10;PZ;;;;09/02/2017;63;CTCODFOR;False;;0;1.200;1.200;;
.77201104;;DENDROBIUM;GALAXY;;;;;FIORI;;120;60.000;1.20;10;PZ;;;;09/02/2017;63;CTCODFOR;False;;0;1.200;1.200;;
.77201259;112858;Dianthusbarbatus;BARBATUS ALDO GREEN;;;;;FIORI;;100;120.000;0.70;10;PZ;;;;22/02/2017;80;CTCODFOR;False;;0;0.700;0.000;;
.77200922;109771;DRACAENA;SANDERIANA LUCKY BAMBOO (HART);;;;;FIORI;;10;30.000;2.60;10;PZ;;;;07/02/2017;58;CTCODFOR;False;;0;2.600;2.600;;
